Disease Term,Id,Description
"Chondrodysplasia Punctata, Rhizomelic",1429,"Rhizomelic Chondrodysplasia Punctata is a rare genetic condition characterized by shortening of the upper arms and thighs, cataracts in infancy, specific abnormalities in the bones of the spine, and intellectual disability."
Trichotillomania,1430,"Trichotillomania is a mental disorder that involves recurrent, irresistible urges to pull out hair from your scalp, eyebrows or other areas of your body, despite trying to stop."
Jervell-Lange Nielsen Syndrome,1431,"Jervell-Lange Nielsen Syndrome is a rare genetic condition characterized by severe heart rhythm disturbances and profound, bilateral sensorineural hearing loss."
Aspartylglucosaminuria,1432,"Aspartylglucosaminuria is a rare inherited disorder that disrupts the breakdown of certain sugars in the body, leading to mental retardation and problems in the skin, skeleton, heart, and other tissues."
"Sleep Disorders, Circadian Rhythm",1433,"Circadian Rhythm Sleep Disorders are disruptions in a person's circadian rhythm, the ""internal body clock"" that regulates the 24-hour cycle of biological processes, leading to difficulties in regulating sleep-wake cycles."
Tay-Sachs Disease,1434,"Tay-Sachs Disease is a rare, inherited disorder that progressively destroys nerve cells in the brain and spinal cord, typically leading to severe disability and death in early childhood."
Multiple Acyl Coenzyme A Dehydrogenase Deficiency,1435,"Multiple Acyl Coenzyme A Dehydrogenase Deficiency is a rare metabolic disorder that disrupts normal energy production, leading to muscle weakness, and potentially life-threatening health problems."
Pelizaeus-Merzbacher Disease,1436,"This is a rare genetic disorder affecting the central nervous system, characterized by impaired motor abilities, difficulty speaking and swallowing, and often intellectual disability."
Goldenhar Syndrome,1437,"Goldenhar Syndrome is a rare congenital condition characterized by abnormal development of the eye, ear and spine often resulting in vision, hearing and facial anomalies."
Branchio-Oto-Renal Syndrome,1438,"It's a genetic disorder that can result in hearing loss, structural defects in the ear, and kidney abnormalities."
"Albinism, Ocular",1439,"Ocular albinism is a genetic disorder that primarily affects the eyes, causing decreased pigmentation in the iris and retina leading to vision problems."
"Ichthyosiform Erythroderma, Congenital",1440,"Congenital Ichthyosiform Erythroderma is a rare, genetic skin disorder present at birth, characterized by redness, scaling, and severe inflammation of the skin."
Lacrimal Duct Obstruction,1441,"It's a condition characterized by blockage of the tear duct that prevents tears from draining normally, often causing watery eyes or tear overflow down the face."
"Niemann-Pick Disease, Type B",1442,"It's a rare genetic disorder causing an accumulation of cholesterol and other fatty substances in the liver, spleen, and lungs, leading to organ damage."
Bernard-Soulier Syndrome,1443,Bernard-Soulier Syndrome is a rare inherited blood clotting disorder characterized by prolonged bleeding time and decreased platelet adhesion to injured blood vessels.
"Menopause, Premature",1444,"Premature menopause is a condition where a woman's ovaries stop functioning before the age of 40, leading to the end of menstrual cycles and the ability to naturally conceive."
"Obesity, Abdominal",1445,"Abdominal obesity is characterized by excessive fat accumulation around the stomach and abdomen, often measured by waist circumference, and associated with increased health risks such as cardiovascular disease and diabetes."
"Puberty, Delayed",1446,It's a condition where physical and sexual maturation are significantly later than the average age due to slow or no progress through the usual sequence of puberty.
Yellow Nail Syndrome,1447,"Yellow Nail Syndrome is a rare condition characterized by yellowing and thickening of the nails, often accompanied by lymphedema (swelling caused by blocked lymphatic system) and respiratory complications."
"Angioedemas, Hereditary",1448,"Hereditary Angioedemas is a rare, genetic disorder characterized by episodes of severe swelling in various body parts including the hands, face, intestinal tract, and airway."
Pharyngeal Neoplasms,1449,"They are tumors, either benign or malignant, that develop in the pharynx, the area that connects the nose and mouth to the esophagus."
Nesidioblastosis,1450,"Nesidioblastosis is a rare condition characterized by the overproduction of insulin due to hyperplasia of pancreas cells, leading to persistent low blood sugar levels."
Crigler-Najjar Syndrome,1451,Crigler-Najjar Syndrome is a rare genetic disorder characterized by high levels of unconjugated bilirubin in the blood due to the liver's inability to convert this substance into a form that can easily be eliminated from the body.
"Leukoplakia, Oral",1452,"Oral leukoplakia is a condition characterized by thickened, white patches on the gums, tongue, inside of the cheeks, or occasionally on the outer lower lips or mouth that are generally benign but have potential to become cancerous."
Denys-Drash Syndrome,1453,"Denys-Drash Syndrome is a rare disorder that primarily affects kidneys and sexual development, typically causing kidney disease from birth, abnormal gonadal tissue (gonadoblastoma), and disorders of sex development."
Lecithin Acyltransferase Deficiency,1454,"This is a rare metabolic condition where the body is unable to break down fats properly, leading to eye problems, kidney diseases, and diminished good cholesterol levels."
Aggressive Periodontitis,1455,"Aggressive Periodontitis is a severe form of gum disease characterized by rapid loss of teeth and bone, often in a localized area and frequently affects young individuals."
"Protoporphyria, Erythropoietic",1456,"Erythropoietic Protoporphyria is a rare inherited metabolic disorder characterized by severe photosensitivity, causing painful skin lesions and abnormal liver functions when skin is exposed to sunlight."
Carbamoyl-Phosphate Synthase I Deficiency Disease,1457,"Carbamoyl-Phosphate Synthase I Deficiency Disease is a genetic disorder that results in an inability to remove ammonia from the body, causing a buildup that can lead to irreversible brain damage, seizures, respiratory problems, and coma."
Nail-Patella Syndrome,1458,"Nail-Patella Syndrome is a genetic condition characterized by abnormalities in the nails, kneecaps, elbows, and, in certain cases, kidneys and skeletal system."
Maxillofacial Abnormalities,1459,"Maxillofacial Abnormalities are structural deformities or irregularities in the head, neck, face, jaws, hard and soft tissues of the mouth and gums, often present at birth, that can affect appearance, speech, ability to eat, and breathe, often requiring corrective surgery."
Factor X Deficiency,1460,"Factor X Deficiency is a rare bleeding disorder caused by a lack of Factor X, a protein involved in the process of blood clotting."
"Lipodystrophy, Familial Partial",1461,"Familial Partial Lipodystrophy is a rare genetic disorder that affects the way how the body uses and stores fat, leading to loss of fat in certain areas of the body and its abnormal accumulation in others."
